Type: 1, SNR: 10.000000, BER: 4.609375e-02
Type: 1, SNR: 15.000000, BER: 1.210938e-02
Type: 1, SNR: 20.000000, BER: 7.812500e-04
Type: 1, SNR: 25.000000, BER: 0.000000e+00
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.015625e-02
Type: 2, SNR: 15.000000, BER: 6.250000e-03
Type: 2, SNR: 20.000000, BER: 0.000000e+00
Type: 2, SNR: 25.000000, BER: 0.000000e+00
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Type: 1, SNR: 10.000000, BER: 6.223438e-02
Type: 1, SNR: 20.000000, BER: 7.578125e-04
Type: 1, SNR: 30.000000, BER: 0.000000e+00
Type: 2, SNR: 10.000000, BER: 6.066406e-02
Type: 2, SNR: 20.000000, BER: 4.648437e-04
Type: 2, SNR: 30.000000, BER: 0.000000e+00
Date: 2025_June_10_20-30-44: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 3.945313e-03
Date: 2025_June_10_20-32-57: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.812500e-06
Date: 2025_June_10_20-35-06: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.317188e-02
Date: 2025_June_10_20-37-14: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.585937e-04
Date: 2025_June_10_21-45-52: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.472656e-03
Date: 2025_June_10_21-48-05: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.812500e-06
Date: 2025_June_10_21-50-11: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.180078e-02
Date: 2025_June_10_21-52-17: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 6.406250e-04
Date: 2025_June_12_18-28-35: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.499062e-01
Date: 2025_June_12_18-30-47: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.491602e-01
Date: 2025_June_12_18-32-53: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.195703e-02
Date: 2025_June_12_18-35-00: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.882812e-04
Date: 2025_June_12_18-44-14: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.478711e-01
Date: 2025_June_12_19-03-32: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.491641e-01
Date: 2025_June_12_19-05-42: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.505547e-01
Date: 2025_June_12_19-07-48: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.016016e-02
Date: 2025_June_12_19-09-54: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 9.921875e-04
Date: 2025_June_12_20-42-27: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.558594e-03
Date: 2025_June_12_20-45-19: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 3.906250e-06
Date: 2025_June_12_20-47-36: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.487891e-02
Date: 2025_June_12_20-49-41: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 7.343750e-04
Date: 2025_June_12_21-09-41: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.097656e-03
Date: 2025_June_12_21-11-51: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.171875e-05
Date: 2025_June_12_21-14-04: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.561328e-02
Date: 2025_June_12_21-16-11: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.976562e-04
Date: 2025_June_12_21-23-14: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.691406e-03
Date: 2025_June_12_21-25-23: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 2.343750e-05
Date: 2025_June_12_21-27-28: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.049609e-02
Date: 2025_June_12_21-29-34: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.078125e-04
Date: 2025_June_15_21-50-59: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.482813e-01
Date: 2025_June_15_21-53-11: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.489844e-01
Date: 2025_June_15_21-55-22: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 5.969141e-02
Date: 2025_June_15_21-57-33: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.468750e-04
Date: 2025_June_15_22-10-03: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.960938e-03
Date: 2025_June_15_22-12-17: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 2.343750e-05
Date: 2025_June_15_22-14-25: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.400000e-02
Date: 2025_June_15_22-16-34: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 6.640625e-04
Date: 2025_June_15_22-28-12: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.281250e-03
Date: 2025_June_15_22-30-25: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 3.125000e-05
Date: 2025_June_15_22-39-14: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.785156e-03
Date: 2025_June_15_22-41-26: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 3.906250e-06
Date: 2025_June_15_22-43-35: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.408984e-02
Date: 2025_June_15_22-45-45: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.687500e-04
Date: 2025_June_15_22-45-59: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 9.734375e-03
Date: 2025_June_15_22-46-14: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 7.187500e-04
Date: 2025_June_15_22-46-26: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 7.064062e-02
Date: 2025_June_15_22-46-38: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 2.687500e-03
Date: 2025_June_15_22-46-57: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 3.275000e-02
Date: 2025_June_15_22-47-16: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 6.515625e-03
Date: 2025_June_15_22-47-33: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 1.045313e-01
Date: 2025_June_15_22-47-50: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 1.267188e-02
Date: 2025_June_15_22-48-12: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 6.718750e-02
Date: 2025_June_15_22-48-35: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.457813e-02
Date: 2025_June_15_22-48-55: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 1.584062e-01
Date: 2025_June_15_22-49-16: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 2.746875e-02
Date: 2025_June_15_23-00-15: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.097656e-03
Date: 2025_June_15_23-02-29: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 5.078125e-05
Date: 2025_June_15_23-04-40: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.582813e-02
Date: 2025_June_15_23-06-50: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.726562e-04
Date: 2025_June_15_23-32-23: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 6.717188e-02
Date: 2025_June_15_23-32-45: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.646875e-02
Date: 2025_June_15_23-33-03: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 1.562344e-01
Date: 2025_June_15_23-33-21: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 2.800000e-02
Date: 2025_June_16_17-55-44: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 7.492953e-01
Date: 2025_June_16_18-22-32: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 6.012930e-01
Date: 2025_June_16_18-37-32: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 5.983281e-01
Date: 2025_June_16_18-52-24: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.239844e-02
Date: 2025_June_16_19-07-18: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.097656e-04
Date: 2025_June_17_09-11-14: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 6.009746e-01
Date: 2025_June_17_09-26-19: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 5.989941e-01
Date: 2025_June_17_09-55-38: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 5.359375e-03
Date: 2025_June_17_10-10-44: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 4.492187e-05
Date: 2025_June_17_10-25-36: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.079688e-02
Date: 2025_June_17_10-40-30: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 4.375000e-04
Date: 2025_June_17_11-06-02: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 4.878906e-03
Date: 2025_June_17_11-21-09: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 4.882813e-05
Date: 2025_June_17_11-36-03: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 5.855664e-02
Date: 2025_June_17_11-50-57: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 5.781250e-04
Date: 2025_June_17_12-07-40: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 6.205078e-03
Date: 2025_June_17_12-24-22: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.171875e-04
Date: 2025_June_17_12-40-52: Type: 2, Modulation: 4-QAM, SNR: 10.000000, BER: 6.289063e-02
Date: 2025_June_17_12-57-22: Type: 2, Modulation: 4-QAM, SNR: 20.000000, BER: 9.804688e-04
Date: 2025_June_17_13-16-35: Type: 1, Modulation: 4-QAM, SNR: 10.000000, BER: 1.209961e-02
Date: 2025_June_17_13-35-50: Type: 1, Modulation: 4-QAM, SNR: 20.000000, BER: 1.322266e-03
